fecha,producto,categoría,cantidad,precio_unitario,total
2025-01-01,Arena fina saco 40 kg,Materiales de construcción,12,9.48,113.76
2025-01-01,Cinta teflón 12 mm,Gasfitería,1,2.05,2.05
2025-01-01,Llave francesa 10 pulgadas,Herramientas manuales,2,39.88,79.76
2025-01-01,Perno hexagonal 1/4 ciento,Tornillería y fijaciones,5,19.94,99.70
2025-01-01,Pintura látex blanca 1 gl,Pinturas,1,49.83,49.83
2025-01-01,Tarugo plástico 6 mm ciento,Tornillería y fijaciones,3,5.70,17.10
2025-01-01,Tuerca hexagonal 1/4 ciento,Tornillería y fijaciones,1,10.17,10.17
2025-01-02,Arena fina saco 40 kg,Materiales de construcción,10,9.27,92.70
2025-01-02,Cinta teflón 12 mm,Gasfitería,10,2.03,20.30
2025-01-02,Cinta teflón 12 mm,Gasfitería,6,1.93,11.58
2025-01-02,Martillo de acero 16 oz,Herramientas manuales,2,27.28,54.56
2025-01-02,Martillo de acero 16 oz,Herramientas manuales,4,27.62,110.48
2025-01-03,Tarugo plástico 6 mm ciento,Tornillería y fijaciones,2,5.53,11.06
2025-01-03,Tubo PVC agua 1/2 pulgada,Gasfitería,1,7.87,7.87
2025-01-04,Cable THW 12 AWG metro,Electricidad,8,3.55,28.40
2025-01-04,Chaleco reflectivo,Seguridad industrial,3,17.44,52.32
2025-01-04,Cinta aislante negra,Electricidad,1,3.50,3.50
2025-01-04,Tarugo plástico 6 mm ciento,Tornillería y fijaciones,2,5.40,10.80
2025-01-04,Tornillo drywall 1 pulgada ciento,Tornillería y fijaciones,3,8.18,24.54
2025-01-04,Tubo PVC agua 1/2 pulgada,Gasfitería,2,7.81,15.62
2025-01-06,Foco LED 9W luz fría,Electricidad,10,7.02,70.20
2025-01-06,Tuerca hexagonal 1/4 ciento,Tornillería y fijaciones,10,9.71,97.10
2025-01-07,Arena fina saco 40 kg,Materiales de construcción,2,9.78,19.56
2025-01-07,Canaleta PVC 20x10 mm,Electricidad,8,4.66,37.28
2025-01-07,Pegamento PVC 1/4 gl,Gasfitería,2,16.99,33.98
2025-01-07,Pintura látex blanca 1 gl,Pinturas,2,49.94,99.88
2025-01-07,Taladro percutor 650W,Herramientas eléctricas,2,194.64,389.28
2025-01-07,Tornillo drywall 1 pulgada ciento,Tornillería y fijaciones,8,8.73,69.84
2025-01-08,Pegamento cerámico 25 kg,Materiales de construcción,10,23.42,234.20
2025-01-09,Lente de seguridad transparente,Seguridad industrial,4,9.96,39.84
2025-01-09,Lija al agua grano 220,Pinturas,2,1.01,2.02
